state,district,event_summary,location,timestamp,source_url
Meghalaya,East Garo Hills,Market vendors protest against price control measures,Williamnagar,2026-01-28 10:00:00,
Meghalaya,West Garo Hills,Border area patrol reports minor incursion attempt foiled,Tura sector,2026-01-29 16:30:00,
Meghalaya,North Garo Hills,Student union calls 12-hour bandh demanding better infrastructure,Resubelpara,2026-01-25 06:00:00,
Meghalaya,South Garo Hills,Community dialogue held to resolve land dispute peacefully,Baghmara,2026-01-30 14:00:00,
Meghalaya,South West Garo Hills,Heavy rainfall warning issued for next 48 hours,Ampati,2026-02-01 08:00:00,
Meghalaya,East Khasi Hills,Traffic congestion reported due to festival preparations,Shillong city,2026-01-31 11:00:00,
Meghalaya,West Khasi Hills,Agricultural cooperative meets to discuss crop insurance,Nongstoin,2026-01-27 15:00:00,
Meghalaya,South West Khasi Hills,Minor road blockade by transporters over toll rates,Mawkyrwat,2026-01-26 09:00:00,
Meghalaya,Eastern West Khasi Hills,Health camp organized for remote villages,Mairang,2026-01-29 10:30:00,
Meghalaya,Ri-Bhoi,Highway maintenance work causes traffic diversions,Nongpoh,2026-01-28 07:00:00,
Meghalaya,East Jaintia Hills,Mining dispute resolved through arbitration,Khliehriat,2026-01-25 13:00:00,
Meghalaya,West Jaintia Hills,Festival celebration proceeds peacefully with police presence,Jowai,2026-01-30 17:00:00,
Assam,Baksa,Flood alert issued as river levels rise,Mushalpur,2026-01-28 06:00:00,
Assam,Bajali,Agricultural market sees price surge in vegetables,Patacharkuchi,2026-01-29 09:00:00,
Assam,Barpeta,Religious procession conducted with adequate security,Barpeta town,2026-01-30 15:00:00,
Assam,Bongaigaon,Railway workers union stages peaceful dharna,Bongaigaon junction,2026-01-27 08:00:00,
Assam,Chirang,Wildlife conservation awareness program held,Bijni,2026-01-26 11:00:00,
Assam,Dhubri,Border trade checkpoint reports increased activity,Dhubri border,2026-01-31 14:00:00,
Assam,Goalpara,School teachers protest delayed salary payments,Goalpara town,2026-01-28 10:00:00,
Assam,Kamrup,Traffic police conduct vehicle safety inspection drive,Rangia,2026-01-29 12:00:00,
Assam,Kamrup Metropolitan,IT sector employees rally for better working conditions,Guwahati Rajgarh,2026-01-30 18:00:00,
Assam,Kokrajhar,Ethnic reconciliation meeting held successfully,Kokrajhar,2026-01-25 16:00:00,
Assam,Nalbari,Farmers cooperative discusses kharif crop planning,Nalbari,2026-01-27 10:00:00,
Assam,South Salmara-Mankachar,Erosion control measures discussed in public meeting,Mankachar,2026-01-28 14:00:00,
Assam,Tamulpur,Health department launches vaccination drive,Tamulpur,2026-01-29 09:00:00,
Assam,Biswanath,Traditional festival celebrated with community participation,Biswanath Chariali,2026-01-30 11:00:00,
Assam,Darrang,Tea garden workers negotiate wage increase,Mangaldoi,2026-01-26 13:00:00,
Assam,Sonitpur,Wildlife corridor monitoring intensified,Tezpur outskirts,2026-01-31 07:00:00,
Assam,Udalguri,Tribal welfare program receives positive response,Udalguri,2026-01-28 15:00:00,
Assam,Charaideo,Historical monument restoration work begins,Charaideo,2026-01-27 10:00:00,
Assam,Dhemaji,River island residents request better connectivity,Dhemaji,2026-01-29 11:00:00,
Assam,Dibrugarh,Oil refinery workers association meets management,Dibrugarh,2026-01-30 14:00:00,
Assam,Golaghat,Kaziranga wildlife monitoring reports normal activity,Golaghat,2026-01-25 08:00:00,
Assam,Jorhat,Tea auction sees steady prices this week,Jorhat,2026-01-28 12:00:00,
