state,district,event_summary,location,timestamp,source_url
Meghalaya,East Garo Hills,Socio-economic review notes Williamnagar as the administrative focus for industrial coal mining developments,Williamnagar,2020-06-15 10:00:00,
Meghalaya,West Garo Hills,Prohibitory orders under Section 163 BNSS imposed across the district ahead of two-day Non-Cooperation Movement by NGOs,Tura,2025-10-12 08:00:00,
Meghalaya,North Garo Hills,Installation of border pillars at resolved boundary points following high-level meeting between state Chief Ministers,Resubelpara,2022-08-20 14:00:00,
Meghalaya,South Garo Hills,Local civil society groups AHAM organized resistance against proposed extension of Guwahati-Mendipathar railway line,Baghmara,2025-04-18 11:00:00,
Meghalaya,South West Garo Hills,Detailed reporting on unnatural cause deaths and maternal health statistics for the district in state review documents,Ampati,2020-12-10 09:00:00,
Meghalaya,East Khasi Hills,Two individuals beaten to death at Ichamati following protests against Citizenship Amendment Act,Shillong Ichamati,2024-03-21 16:30:00,
Meghalaya,West Khasi Hills,Langpih area included in second phase of sensitive border dispute resolution talks with Assam,Nongstoin,2025-07-14 13:00:00,
Meghalaya,South West Khasi Hills,Mass demonstrations held in Mawkyrwat for inclusion of Khasi and Garo languages in 8th Schedule of Constitution,Mawkyrwat,2020-09-05 10:00:00,
Meghalaya,Eastern West Khasi Hills,Inauguration of Block Integrated Development Complex and Intensive Care Units at Mairang,Mairang,2025-11-02 15:00:00,
Meghalaya,Ri-Bhoi,Tensions flared in border villages after reported high-handedness by security forces in Kuliang,Nongpoh Kuliang,2024-05-18 17:00:00,
Meghalaya,East Jaintia Hills,15 people including nine police personnel injured in violent clashes during public hearing for cement plant expansion,Khliehriat,2023-08-24 12:00:00,
Meghalaya,West Jaintia Hills,284 Indian citizens returned from violence-hit areas of Bangladesh via Dawki integrated check post,Jowai Dawki,2024-07-28 18:00:00,
Assam,Baksa,District-level identification of specialized adoption agencies under child welfare schemes,Mushalpur,2025-03-10 11:00:00,
Assam,Bajali,State Cabinet approved re-creation of Bajali as full-fledged district after brief administrative merger,Patacharkuchi,2023-06-22 14:00:00,
Assam,Barpeta,Cabinet approved proposal to carve out Bajali as 34th district of Assam from Barpeta,Barpeta,2020-04-15 10:00:00,
Assam,Bongaigaon,Formation of 4th Company of State Disaster Response Force Battalion at Abhayapuri,Bongaigaon,2020-11-08 09:00:00,
Assam,Chirang,Mobile data services suspended as precautionary measure to curb rumors following unrest in western Assam,Bijni,2025-09-14 07:00:00,
Assam,Dhubri,Arrest of cleric for attempted sexual abuse of student at local Madrasa,Dhubri,2021-01-22 15:00:00,
Assam,Goalpara,Ex-gratia of Rs 4 lakh each provided to kin of five victims of boat capsize incident at Simolitola,Goalpara,2024-08-12 13:00:00,
Assam,Kamrup,3rd Company SDRF Battalion established at North Guwahati to handle regional emergencies,Rangia,2020-07-19 10:00:00,
Assam,Kamrup Metropolitan,Violent clashes between students of Cotton University and Arya College resulted in three injuries,Guwahati,2025-01-18 16:00:00,
Assam,Kokrajhar,Thousands of tribal students storm BTC Secretariat protesting report on granting ST status to other communities,Kokrajhar,2025-11-15 11:00:00,
Assam,Nalbari,Establishment of five breeding units for locally important fish species to boost regional self-sufficiency,Nalbari,2021-05-20 12:00:00,
Assam,South Salmara-Mankachar,Services of district information officer attached to CM Public Relations Cell,Mankachar,2025-08-07 14:00:00,
Assam,Tamulpur,Tamulpur formally inaugurated as 35th district of Assam,Tamulpur,2022-01-28 15:00:00,
Assam,Biswanath,Formal administrative decision to recreate Biswanath as separate district,Biswanath Chariali,2023-03-14 11:00:00,
Assam,Darrang,Standing Committee reports on fish smuggling in district prompt new policy formulation,Mangaldoi,2022-09-25 13:00:00,
Assam,Sonitpur,Major preparations launched for 95th annual conference of Srimanta Sankardev Sangha,Tezpur,2025-10-30 10:00:00,
Assam,Udalguri,Vulnerable zones identified for installation of CCTV systems to maintain public tranquillity,Udalguri,2021-12-17 09:00:00,
Assam,Charaideo,District headquarters nominated Ahom Maidams for UNESCO World Heritage status,Charaideo,2025-07-22 14:00:00,
Assam,Dhemaji,22nd AP Indian Reserve Battalion headquartered at Likabali for law-and-order duties,Dhemaji,2021-04-10 10:00:00,
Assam,Dibrugarh,Tai Ahoms staged torch rally in Moran town demanding Scheduled Tribe status,Dibrugarh Moran,2025-10-08 18:00:00,
Assam,Golaghat,5th Company SDRF Battalion established at Dergaon for regional disaster response,Golaghat,2020-08-14 11:00:00,
Assam,Jorhat,Student from Pragya Academy Jorhat secured top rank in statewide HSLC exams,Jorhat,2025-06-15 12:00:00,
Assam,Lakhimpur,Case involving mysterious deaths of four district-native workers in Bengaluru reported,Lakhimpur,2025-09-20 13:00:00,
Assam,Majuli,Completion of infrastructure projects for permanent district office buildings,Majuli,2024-11-05 14:00:00,
Assam,Sivasagar,Sivasagar named best-performing district in 2025 HSLC examinations,Sivasagar,2025-06-20 15:00:00,
Assam,Tinsukia,District flood resistance forum alleged major irregularities and lapses in erosion-control works,Tinsukia,2025-08-18 10:00:00,
Assam,Dima Hasao,Nine miners killed following flooding of coal mine,Haflong,2025-05-12 07:00:00,
Assam,Hojai,Official recreation of district administrative unit following regional boundary revisions,Hojai,2023-02-28 11:00:00,
Assam,Morigaon,Identification of district as part of core 24 districts sharing inter-state borders,Morigaon,2020-10-08 12:00:00,
Assam,Nagaon,Six breeding units for local fish species established to bridge supply-demand gap,Nagaon,2021-07-14 13:00:00,
Assam,Karbi Anglong,Security forces conduct massive joint operations to seize narcotics and illicit arms in region,Diphu,2022-11-22 08:00:00,
Assam,West Karbi Anglong,Two people killed and dozens injured in violence over land eviction demands,Hamren,2025-02-15 16:00:00,
Assam,Cachar,Protest by civil society groups in Silchar against attacks on religious minorities in Bangladesh,Silchar,2025-08-25 11:00:00,
Assam,Hailakandi,Solidarity rally taken out at Panchgram to support persecuted communities in neighboring regions,Hailakandi,2025-08-26 14:00:00,
Assam,Karimganj,12-hour strike against renaming district to Sribhumi led to 15 injuries and 150 detentions,Karimganj,2025-09-12 09:00:00,
Arunachal Pradesh,Anjaw,18 laborers from Tinsukia killed when truck plunged into gorge on Hayuliang road,Hayuliang,2025-12-10 06:00:00,
Arunachal Pradesh,Changlang,Individual in Miao arrested for allegedly sharing security information with Pakistani handlers,Changlang Miao,2025-10-14 15:00:00,
Arunachal Pradesh,Dibang Valley,Idu Mishmi community objects to 1200MW hydro project due to potential displacement risks,Anini,2025-06-18 12:00:00,
