state,district,event_summary,location,timestamp,source_url
Manipur,Imphal West,Mass protest rally organized against government policy with thousands participating,Imphal city center,2026-02-03 10:30:00,
Assam,Kamrup Metropolitan,Arms cache recovered near border area includes 15 rifles and ammunition,Guwahati outskirts,2026-02-02 14:00:00,
Meghalaya,East Khasi Hills,12-hour bandh called by student union affecting markets and transportation,Shillong,2026-02-01 06:00:00,
Nagaland,Dimapur,Peace dialogue meeting held between community leaders tension de-escalates,Dimapur,2026-01-31 16:00:00,
Mizoram,Aizawl,Rumor of water shortage circulates on social media leading to panic buying,Aizawl city,2026-02-03 08:00:00,
Assam,Cachar,Narcotics smuggling attempt foiled at border checkpoint 50kg seized,Silchar border,2026-02-02 22:00:00,
Tripura,West Tripura,Highway blockade by farmers demanding compensation for crop damage,Agartala-Khowai road,2026-02-01 11:00:00,
Arunachal Pradesh,Tawang,Border patrol reports suspicious movement along international boundary,Tawang sector,2026-01-30 18:00:00,
Sikkim,East Sikkim,Trade union strike at market hub causes business disruption,Gangtok market,2026-02-03 09:00:00,
Manipur,Churachandpur,Misinformation about ethnic violence spreads rapidly across WhatsApp groups,Churachandpur,2026-02-02 20:00:00,
